# Expected transmission of the T80Cam-North CCD.
# 
#wavelength	transmission(%)
 2500            0
 3000           38
 3500		76
 4000		93
 4500		97
 5000		92
 5500		92
 6000		89
 6500		86
 7000		84
 7500		81
 8000		73
 8500		61
 9000		46
 9500		31
10000		14
10500		 4
